INFO  2024-02-12 20:46:38,820  autoreload  Watching for file changes with StatReloader

DEBUG  2024-02-12 20:46:38,835  autoreload  Waiting for apps ready_event.

DEBUG  2024-02-12 20:46:38,960  autoreload  Apps ready_event triggered. Sending autoreload_started signal.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\python3.11\Lib\site-packages\django_filters\templates with glob **/*.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\Users\PC\PycharmProjects\D16\project\templates with glob **/*.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\python3.11\Lib\site-packages\allauth\templates with glob **/*.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\Users\PC\PycharmProjects\D16\project\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\Users\PC\PycharmProjects\D16\project\news\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\python3.11\Lib\site-packages\django_filters\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\Users\PC\PycharmProjects\D16\project\sign\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\Users\PC\PycharmProjects\D16\project\protect\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\python3.11\Lib\site-packages\allauth\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\python3.11\Lib\site-packages\allauth\account\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\python3.11\Lib\site-packages\allauth\socialaccount\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\python3.11\Lib\site-packages\allauth\socialaccount\providers\google\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,003  autoreload  Watching dir C:\python3.11\Lib\site-packages\django_apscheduler\locale with glob **/*.mo.

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1679329812.458598

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1679329812.4365983

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1679329812.3429725

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\utils\dates.py first seen with mtime 1679329812.6281304

DEBUG  2024-02-12 20:46:39,268  autoreload  File C:\python3.11\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1679329812.4835973

